Date,Open,High,Low,Close,Adj Close,Volume
09-02-2017,50.403362,51.438675,49.340805,51.029999,50.025558,6710539
10-02-2017,51.220715,51.738373,50.348873,50.594078,49.598209,5862282
13-02-2017,50.97551,51.029999,49.041111,49.967442,48.98391,3914814
14-02-2017,50.076424,50.185402,48.659679,49.449787,48.476448,6104677
15-02-2017,49.858463,52.719193,49.722237,50.267139,49.27771,21391968
16-02-2017,50.512344,51.493168,49.58601,51.384186,50.372772,6326139
17-02-2017,51.711124,51.956333,50.893772,51.111736,50.105682,3374607
20-02-2017,51.220715,54.353897,51.029999,53.07338,52.028713,16147853
21-02-2017,53.345829,54.054199,52.773685,53.100624,52.055424,6668577
22-02-2017,53.182358,53.563789,51.247959,51.520412,50.506313,8602445
23-02-2017,51.493168,53.236851,51.166225,52.637459,51.601372,10935229
27-02-2017,52.746437,53.236851,51.547657,52.337765,51.307579,4548462
28-02-2017,52.310516,54.8988,51.820107,53.672771,52.616306,14953530
01-03-2017,53.945221,54.244919,52.937153,53.400318,52.349216,4400485
02-03-2017,53.591034,54.435631,50.70306,51.002754,49.998844,7200998
03-03-2017,50.784794,51.929089,50.648567,51.602146,50.586441,7195693
06-03-2017,51.792862,52.228783,51.247959,51.983578,50.960365,4110992
07-03-2017,52.119801,54.163181,51.874596,53.318584,52.269089,9477886
08-03-2017,53.400318,53.972466,51.19347,51.574902,50.559734,5870227
09-03-2017,51.41143,51.68388,50.566833,51.002754,49.998844,4135971
10-03-2017,51.220715,52.038067,50.539589,51.247959,50.23922,3994643
14-03-2017,52.882664,53.945221,52.174294,53.155113,52.108841,9306723
15-03-2017,53.209606,55.470943,52.610214,55.144005,54.058582,17509404
16-03-2017,55.82513,56.642483,55.470943,55.988602,54.886555,13066342
17-03-2017,56.397278,57.43259,55.688904,56.506256,55.394016,11861764
20-03-2017,56.451767,57.105648,55.498192,56.288296,55.180351,4024466
21-03-2017,56.233807,56.887688,55.307472,56.451767,55.340603,4831769
22-03-2017,55.797886,56.506256,55.307472,55.443699,54.352375,3989897
23-03-2017,55.525436,57.350853,55.38921,56.969421,55.848068,7976964
24-03-2017,57.323608,58.304432,56.860443,57.623302,56.489079,9503129
27-03-2017,57.70504,57.70504,56.015846,56.587994,55.474144,6254579
28-03-2017,57.21463,57.677795,56.587994,56.969421,55.848068,4754120
29-03-2017,57.187382,57.350853,56.506256,56.914932,55.794651,3481548
30-03-2017,57.023914,58.031979,56.751461,57.650551,56.515785,13591248
31-03-2017,57.950245,60.048115,57.323608,59.149029,57.984779,12821532
03-04-2017,59.312496,61.19241,58.822086,60.919956,59.72084,8702015
05-04-2017,61.028938,62.908848,60.347813,62.445679,61.216534,7965639
06-04-2017,62.227718,63.290276,62.037003,63.072315,61.830833,5980676
07-04-2017,62.39119,65.142944,62.282211,63.971405,62.712227,10240832
10-04-2017,64.271095,65.742332,63.916916,65.442635,64.154495,8917498
11-04-2017,65.306412,68.385101,64.598038,66.096519,64.795509,20987827
12-04-2017,64.570793,65.1157,59.830154,62.309456,61.082989,16831030
13-04-2017,62.60915,64.025894,61.110672,63.671707,62.418434,9209628
17-04-2017,62.690887,67.676735,62.690887,67.21357,65.890572,10923462
18-04-2017,67.567749,87.565628,67.567749,78.956184,77.402054,170150231
19-04-2017,77.866386,80.917831,75.223618,79.092415,77.535606,43424860
20-04-2017,79.446602,81.408241,78.193329,79.691803,78.123192,15559322
21-04-2017,79.828033,80.917831,78.302307,79.528336,77.962936,10015198
24-04-2017,79.501091,86.721031,79.010681,81.762428,80.153069,31232010
25-04-2017,82.062126,83.724075,80.808853,81.707939,80.099648,14660532
26-04-2017,81.844162,82.579781,63.862423,64.598038,63.326527,82181128
27-04-2017,66.314476,73.75238,61.41037,62.200474,60.976154,143366815
28-04-2017,63.644463,64.679771,58.467899,59.366989,58.198444,72140018
02-05-2017,59.857399,63.372013,58.059223,61.437614,60.228313,57251803
03-05-2017,62.037003,63.154053,59.830154,61.383121,60.174896,32763787
04-05-2017,61.546593,62.472923,61.056183,61.791798,60.575527,16931132
05-05-2017,61.90078,62.881599,59.09454,61.955269,60.735779,22307960
08-05-2017,62.173229,63.208542,60.783733,62.418434,61.189827,15326313
09-05-2017,62.60915,65.333656,61.955269,64.407326,63.139568,23232623
10-05-2017,65.088448,67.486015,64.570793,66.913872,65.596779,22752782
11-05-2017,68.357857,69.093475,63.971405,65.469879,64.181206,42484602
12-05-2017,65.715088,66.941116,63.862423,66.232742,64.929054,20021004
15-05-2017,66.750397,67.131828,65.388145,66.423462,65.11602,13012270
16-05-2017,66.450706,67.840202,65.824066,66.913872,65.596779,12654891
17-05-2017,66.750397,66.941116,65.142944,66.205498,64.902336,10676920
18-05-2017,65.333656,68.575821,64.625282,65.578865,64.28804,18925323
19-05-2017,67.131828,67.812958,65.469879,66.423462,65.11602,11387421
22-05-2017,66.777641,67.758469,65.715088,66.123764,64.82222,10622286
23-05-2017,64.570793,64.625282,59.666683,61.655575,60.441986,23801357
24-05-2017,62.173229,62.881599,60.266075,61.90078,60.682362,11718569
25-05-2017,64.843246,65.061203,62.363945,63.344769,62.097931,17477139
26-05-2017,63.753445,64.189362,62.663643,63.181297,61.937672,7654510
29-05-2017,63.181297,63.208542,59.966381,60.701996,59.507168,8839231
30-05-2017,61.028938,68.00367,59.939137,64.243851,62.979309,38287302
31-05-2017,64.461815,65.769577,62.690887,63.644463,62.39172,15218036
01-06-2017,63.862423,64.679771,63.344769,63.617218,62.365017,10238277
02-06-2017,63.862423,64.707024,63.480991,64.025894,62.76564,7758119
05-06-2017,64.025894,65.224678,63.480991,64.025894,62.76564,8493999
06-06-2017,64.897736,70.183281,64.897736,69.774605,68.401192,69157294
07-06-2017,71.245834,73.289215,70.346748,71.545532,70.137268,44938768
08-06-2017,71.382057,71.709,69.066231,70.72818,69.335999,15231545
09-06-2017,70.837158,72.580841,69.229698,72.063187,70.644737,16885493
12-06-2017,71.65451,72.580841,69.74736,71.245834,69.843483,9534346
13-06-2017,70.292259,73.997589,70.292259,72.14492,70.724854,22458851
14-06-2017,72.362885,72.853294,71.055122,71.518288,70.110558,7744458
15-06-2017,71.382057,72.989517,70.292259,72.199409,70.77829,9302880
16-06-2017,72.172165,72.689819,71.000633,71.327568,69.923599,7952593
19-06-2017,72.063187,72.662575,71.545532,71.899719,70.484497,6177534
20-06-2017,72.14492,72.14492,70.455727,71.327568,69.923599,6607942
21-06-2017,71.273079,72.417374,71.000633,71.84523,70.431061,7566756
22-06-2017,72.199409,72.580841,70.837158,71.300323,69.896896,7288840
23-06-2017,71.327568,71.436554,67.64949,68.848267,67.493095,10851981
27-06-2017,69.147964,72.417374,67.840202,71.382057,69.977005,10939841
28-06-2017,72.090431,74.487999,71.981453,73.234726,71.793213,26231803
29-06-2017,73.561668,73.888603,72.253899,72.608086,71.178902,7978677
30-06-2017,72.471863,73.180237,71.136856,72.253899,70.831688,7870773
03-07-2017,72.14492,75.714027,71.926964,74.379021,72.914986,17599655
04-07-2017,74.379021,74.896675,72.417374,72.771561,71.339165,6844994
05-07-2017,73.016762,74.106567,72.199409,73.697891,72.247261,8130271
06-07-2017,73.561668,74.161057,72.935028,73.670647,72.220566,5565891
07-07-2017,73.261971,74.106567,72.744316,73.125748,71.686378,3470118
10-07-2017,73.561668,74.052078,73.016762,73.479927,72.033585,1100749
11-07-2017,73.561668,73.80687,72.362885,72.689819,71.259033,4514082
12-07-2017,72.853294,77.294235,72.471863,76.994545,75.479027,28304039
13-07-2017,77.648422,78.656494,75.278107,76.722092,75.211937,20051700
14-07-2017,76.83107,77.076279,75.032898,75.959229,74.464096,8610995
17-07-2017,76.013718,76.722092,75.41433,75.959229,74.464096,4453041
18-07-2017,75.714027,76.476891,74.705956,75.114632,73.636124,5014809
19-07-2017,75.196365,76.640358,74.92392,76.013718,74.517509,5478229
20-07-2017,76.286171,77.375977,75.468819,76.504135,74.998268,7165638
21-07-2017,76.749336,77.266991,75.114632,76.940056,75.425613,6503101
24-07-2017,77.049034,77.757408,75.85025,76.422394,74.918137,6269892
25-07-2017,76.803825,76.803825,75.35984,75.904739,74.410667,5266174
